"Statistic Label","Census Year","Administrative Counties 2019","Age","Sex","UNIT","VALUE"
"Population","2022","Kilkenny County Council","Total","Females","Number","52277"
"Population","2022","Kilkenny County Council","Total","Both Sexes","Number","104160"
"Population","2022","Laois County Council","Age 0-4","Males","Number","2968"
"Population","2022","Laois County Council","Age 0-4","Females","Number","2748"
"Population","2022","Laois County Council","Age 0-4","Both Sexes","Number","5716"
"Population","2022","Laois County Council","Age 5-9","Males","Number","3555"
"Population","2022","Laois County Council","Age 5-9","Females","Number","3311"
"Population","2022","Laois County Council","Age 5-9","Both Sexes","Number","6866"
"Population","2022","Laois County Council","Age 10-14","Males","Number","4013"
"Population","2022","Laois County Council","Age 10-14","Females","Number","3813"
"Population","2022","Laois County Council","Age 10-14","Both Sexes","Number","7826"
"Population","2022","Laois County Council","Age 15-19","Males","Number","3388"
"Population","2022","Laois County Council","Age 15-19","Females","Number","3249"
"Population","2022","Laois County Council","Age 15-19","Both Sexes","Number","6637"
"Population","2022","Laois County Council","Age 20-24","Males","Number","2562"
"Population","2022","Laois County Council","Age 20-24","Females","Number","2370"
"Population","2022","Laois County Council","Age 20-24","Both Sexes","Number","4932"
"Population","2022","Laois County Council","Age 25-29","Males","Number","2267"
"Population","2022","Laois County Council","Age 25-29","Females","Number","2145"
"Population","2022","Laois County Council","Age 25-29","Both Sexes","Number","4412"
"Population","2022","Laois County Council","Age 30-34","Males","Number","2624"
"Population","2022","Laois County Council","Age 30-34","Females","Number","2773"
"Population","2022","Laois County Council","Age 30-34","Both Sexes","Number","5397"
"Population","2022","Laois County Council","Age 35-39","Males","Number","3506"
"Population","2022","Laois County Council","Age 35-39","Females","Number","3811"
"Population","2022","Laois County Council","Age 35-39","Both Sexes","Number","7317"
"Population","2022","Laois County Council","Age 40-44","Males","Number","3798"
"Population","2022","Laois County Council","Age 40-44","Females","Number","3954"
"Population","2022","Laois County Council","Age 40-44","Both Sexes","Number","7752"
"Population","2022","Laois County Council","Age 45-49","Males","Number","3396"
"Population","2022","Laois County Council","Age 45-49","Females","Number","3428"
"Population","2022","Laois County Council","Age 45-49","Both Sexes","Number","6824"
"Population","2022","Laois County Council","Age 50-54","Males","Number","3226"
"Population","2022","Laois County Council","Age 50-54","Females","Number","2982"
"Population","2022","Laois County Council","Age 50-54","Both Sexes","Number","6208"
"Population","2022","Laois County Council","Age 55-59","Males","Number","2711"
"Population","2022","Laois County Council","Age 55-59","Females","Number","2626"
"Population","2022","Laois County Council","Age 55-59","Both Sexes","Number","5337"
"Population","2022","Laois County Council","Age 60-64","Males","Number","2412"
"Population","2022","Laois County Council","Age 60-64","Females","Number","2263"
"Population","2022","Laois County Council","Age 60-64","Both Sexes","Number","4675"
"Population","2022","Laois County Council","Age 65-69","Males","Number","2013"
"Population","2022","Laois County Council","Age 65-69","Females","Number","1946"
"Population","2022","Laois County Council","Age 65-69","Both Sexes","Number","3959"
"Population","2022","Laois County Council","Age 70-74","Males","Number","1605"
"Population","2022","Laois County Council","Age 70-74","Females","Number","1529"
"Population","2022","Laois County Council","Age 70-74","Both Sexes","Number","3134"
"Population","2022","Laois County Council","Age 75-79","Males","Number","1157"
"Population","2022","Laois County Council","Age 75-79","Females","Number","1246"
"Population","2022","Laois County Council","Age 75-79","Both Sexes","Number","2403"
"Population","2022","Laois County Council","Age 80-84","Males","Number","643"
"Population","2022","Laois County Council","Age 80-84","Females","Number","727"
"Population","2022","Laois County Council","Age 80-84","Both Sexes","Number","1370"
"Population","2022","Laois County Council","Age 85 and over","Males","Number","434"
"Population","2022","Laois County Council","Age 85 and over","Females","Number","678"
"Population","2022","Laois County Council","Age 85 and over","Both Sexes","Number","1112"
"Population","2022","Laois County Council","Total","Males","Number","46278"
"Population","2022","Laois County Council","Total","Females","Number","45599"
"Population","2022","Laois County Council","Total","Both Sexes","Number","91877"
"Population","2022","Longford County Council","Age 0-4","Males","Number","1361"
"Population","2022","Longford County Council","Age 0-4","Females","Number","1334"
"Population","2022","Longford County Council","Age 0-4","Both Sexes","Number","2695"
"Population","2022","Longford County Council","Age 5-9","Males","Number","1753"
"Population","2022","Longford County Council","Age 5-9","Females","Number","1600"
"Population","2022","Longford County Council","Age 5-9","Both Sexes","Number","3353"
"Population","2022","Longford County Council","Age 10-14","Males","Number","1896"
"Population","2022","Longford County Council","Age 10-14","Females","Number","1784"
"Population","2022","Longford County Council","Age 10-14","Both Sexes","Number","3680"
"Population","2022","Longford County Council","Age 15-19","Males","Number","1679"
"Population","2022","Longford County Council","Age 15-19","Females","Number","1547"
"Population","2022","Longford County Council","Age 15-19","Both Sexes","Number","3226"
"Population","2022","Longford County Council","Age 20-24","Males","Number","1353"
"Population","2022","Longford County Council","Age 20-24","Females","Number","1175"
"Population","2022","Longford County Council","Age 20-24","Both Sexes","Number","2528"
"Population","2022","Longford County Council","Age 25-29","Males","Number","1119"
"Population","2022","Longford County Council","Age 25-29","Females","Number","1174"
"Population","2022","Longford County Council","Age 25-29","Both Sexes","Number","2293"
"Population","2022","Longford County Council","Age 30-34","Males","Number","1314"
"Population","2022","Longford County Council","Age 30-34","Females","Number","1435"
"Population","2022","Longford County Council","Age 30-34","Both Sexes","Number","2749"
"Population","2022","Longford County Council","Age 35-39","Males","Number","1572"
"Population","2022","Longford County Council","Age 35-39","Females","Number","1775"
"Population","2022","Longford County Council","Age 35-39","Both Sexes","Number","3347"
"Population","2022","Longford County Council","Age 40-44","Males","Number","1908"
"Population","2022","Longford County Council","Age 40-44","Females","Number","1914"
"Population","2022","Longford County Council","Age 40-44","Both Sexes","Number","3822"
"Population","2022","Longford County Council","Age 45-49","Males","Number","1726"
"Population","2022","Longford County Council","Age 45-49","Females","Number","1692"
"Population","2022","Longford County Council","Age 45-49","Both Sexes","Number","3418"
"Population","2022","Longford County Council","Age 50-54","Males","Number","1567"
"Population","2022","Longford County Council","Age 50-54","Females","Number","1538"
"Population","2022","Longford County Council","Age 50-54","Both Sexes","Number","3105"
"Population","2022","Longford County Council","Age 55-59","Males","Number","1405"
"Population","2022","Longford County Council","Age 55-59","Females","Number","1338"
"Population","2022","Longford County Council","Age 55-59","Both Sexes","Number","2743"
"Population","2022","Longford County Council","Age 60-64","Males","Number","1240"
"Population","2022","Longford County Council","Age 60-64","Females","Number","1220"
"Population","2022","Longford County Council","Age 60-64","Both Sexes","Number","2460"
"Population","2022","Longford County Council","Age 65-69","Males","Number","1115"
"Population","2022","Longford County Council","Age 65-69","Females","Number","1120"
"Population","2022","Longford County Council","Age 65-69","Both Sexes","Number","2235"
"Population","2022","Longford County Council","Age 70-74","Males","Number","1030"
"Population","2022","Longford County Council","Age 70-74","Females","Number","958"
"Population","2022","Longford County Council","Age 70-74","Both Sexes","Number","1988"
"Population","2022","Longford County Council","Age 75-79","Males","Number","721"
"Population","2022","Longford County Council","Age 75-79","Females","Number","774"
"Population","2022","Longford County Council","Age 75-79","Both Sexes","Number","1495"
"Population","2022","Longford County Council","Age 80-84","Males","Number","398"
"Population","2022","Longford County Council","Age 80-84","Females","Number","435"
"Population","2022","Longford County Council","Age 80-84","Both Sexes","Number","833"
"Population","2022","Longford County Council","Age 85 and over","Males","Number","292"
"Population","2022","Longford County Council","Age 85 and over","Females","Number","489"
"Population","2022","Longford County Council","Age 85 and over","Both Sexes","Number","781"
"Population","2022","Longford County Council","Total","Males","Number","23449"
"Population","2022","Longford County Council","Total","Females","Number","23302"
"Population","2022","Longford County Council","Total","Both Sexes","Number","46751"
"Population","2022","Louth County Council","Age 0-4","Males","Number","4296"
"Population","2022","Louth County Council","Age 0-4","Females","Number","3964"
"Population","2022","Louth County Council","Age 0-4","Both Sexes","Number","8260"
"Population","2022","Louth County Council","Age 5-9","Males","Number","5009"
"Population","2022","Louth County Council","Age 5-9","Females","Number","4839"
"Population","2022","Louth County Council","Age 5-9","Both Sexes","Number","9848"
"Population","2022","Louth County Council","Age 10-14","Males","Number","5593"
"Population","2022","Louth County Council","Age 10-14","Females","Number","5393"
"Population","2022","Louth County Council","Age 10-14","Both Sexes","Number","10986"
"Population","2022","Louth County Council","Age 15-19","Males","Number","5087"
"Population","2022","Louth County Council","Age 15-19","Females","Number","4887"
"Population","2022","Louth County Council","Age 15-19","Both Sexes","Number","9974"
"Population","2022","Louth County Council","Age 20-24","Males","Number","4335"
"Population","2022","Louth County Council","Age 20-24","Females","Number","4059"
"Population","2022","Louth County Council","Age 20-24","Both Sexes","Number","8394"
"Population","2022","Louth County Council","Age 25-29","Males","Number","3570"
"Population","2022","Louth County Council","Age 25-29","Females","Number","3649"
"Population","2022","Louth County Council","Age 25-29","Both Sexes","Number","7219"
"Population","2022","Louth County Council","Age 30-34","Males","Number","4051"
"Population","2022","Louth County Council","Age 30-34","Females","Number","4417"
"Population","2022","Louth County Council","Age 30-34","Both Sexes","Number","8468"
"Population","2022","Louth County Council","Age 35-39","Males","Number","4657"
"Population","2022","Louth County Council","Age 35-39","Females","Number","5341"
"Population","2022","Louth County Council","Age 35-39","Both Sexes","Number","9998"
"Population","2022","Louth County Council","Age 40-44","Males","Number","5325"
"Population","2022","Louth County Council","Age 40-44","Females","Number","5801"
"Population","2022","Louth County Council","Age 40-44","Both Sexes","Number","11126"
"Population","2022","Louth County Council","Age 45-49","Males","Number","5044"
"Population","2022","Louth County Council","Age 45-49","Females","Number","5281"
"Population","2022","Louth County Council","Age 45-49","Both Sexes","Number","10325"
"Population","2022","Louth County Council","Age 50-54","Males","Number","4918"
"Population","2022","Louth County Council","Age 50-54","Females","Number","4876"
"Population","2022","Louth County Council","Age 50-54","Both Sexes","Number","9794"
"Population","2022","Louth County Council","Age 55-59","Males","Number","4184"
"Population","2022","Louth County Council","Age 55-59","Females","Number","4149"
"Population","2022","Louth County Council","Age 55-59","Both Sexes","Number","8333"
"Population","2022","Louth County Council","Age 60-64","Males","Number","3542"
"Population","2022","Louth County Council","Age 60-64","Females","Number","3538"
"Population","2022","Louth County Council","Age 60-64","Both Sexes","Number","7080"
"Population","2022","Louth County Council","Age 65-69","Males","Number","3042"
"Population","2022","Louth County Council","Age 65-69","Females","Number","3036"
"Population","2022","Louth County Council","Age 65-69","Both Sexes","Number","6078"
"Population","2022","Louth County Council","Age 70-74","Males","Number","2486"
"Population","2022","Louth County Council","Age 70-74","Females","Number","2669"
"Population","2022","Louth County Council","Age 70-74","Both Sexes","Number","5155"
"Population","2022","Louth County Council","Age 75-79","Males","Number","1880"
"Population","2022","Louth County Council","Age 75-79","Females","Number","2194"
"Population","2022","Louth County Council","Age 75-79","Both Sexes","Number","4074"
"Population","2022","Louth County Council","Age 80-84","Males","Number","1168"
"Population","2022","Louth County Council","Age 80-84","Females","Number","1382"
"Population","2022","Louth County Council","Age 80-84","Both Sexes","Number","2550"
"Population","2022","Louth County Council","Age 85 and over","Males","Number","720"
"Population","2022","Louth County Council","Age 85 and over","Females","Number","1321"
"Population","2022","Louth County Council","Age 85 and over","Both Sexes","Number","2041"
"Population","2022","Louth County Council","Total","Males","Number","68907"
"Population","2022","Louth County Council","Total","Females","Number","70796"
"Population","2022","Louth County Council","Total","Both Sexes","Number","139703"
"Population","2022","Meath County Council","Age 0-4","Males","Number","7389"
"Population","2022","Meath County Council","Age 0-4","Females","Number","6828"
"Population","2022","Meath County Council","Age 0-4","Both Sexes","Number","14217"
"Population","2022","Meath County Council","Age 5-9","Males","Number","8649"
"Population","2022","Meath County Council","Age 5-9","Females","Number","8357"
"Population","2022","Meath County Council","Age 5-9","Both Sexes","Number","17006"
"Population","2022","Meath County Council","Age 10-14","Males","Number","9636"
"Population","2022","Meath County Council","Age 10-14","Females","Number","9373"
"Population","2022","Meath County Council","Age 10-14","Both Sexes","Number","19009"
"Population","2022","Meath County Council","Age 15-19","Males","Number","8189"
"Population","2022","Meath County Council","Age 15-19","Females","Number","7762"
"Population","2022","Meath County Council","Age 15-19","Both Sexes","Number","15951"
"Population","2022","Meath County Council","Age 20-24","Males","Number","6525"
"Population","2022","Meath County Council","Age 20-24","Females","Number","5754"
"Population","2022","Meath County Council","Age 20-24","Both Sexes","Number","12279"
"Population","2022","Meath County Council","Age 25-29","Males","Number","5185"
"Population","2022","Meath County Council","Age 25-29","Females","Number","5166"
"Population","2022","Meath County Council","Age 25-29","Both Sexes","Number","10351"
"Population","2022","Meath County Council","Age 30-34","Males","Number","6206"
"Population","2022","Meath County Council","Age 30-34","Females","Number","6972"
"Population","2022","Meath County Council","Age 30-34","Both Sexes","Number","13178"
"Population","2022","Meath County Council","Age 35-39","Males","Number","7988"
"Population","2022","Meath County Council","Age 35-39","Females","Number","8816"
"Population","2022","Meath County Council","Age 35-39","Both Sexes","Number","16804"
"Population","2022","Meath County Council","Age 40-44","Males","Number","9061"
"Population","2022","Meath County Council","Age 40-44","Females","Number","9757"
"Population","2022","Meath County Council","Age 40-44","Both Sexes","Number","18818"
"Population","2022","Meath County Council","Age 45-49","Males","Number","8710"
"Population","2022","Meath County Council","Age 45-49","Females","Number","8848"
"Population","2022","Meath County Council","Age 45-49","Both Sexes","Number","17558"
"Population","2022","Meath County Council","Age 50-54","Males","Number","7792"
"Population","2022","Meath County Council","Age 50-54","Females","Number","7629"
"Population","2022","Meath County Council","Age 50-54","Both Sexes","Number","15421"
"Population","2022","Meath County Council","Age 55-59","Males","Number","6537"
"Population","2022","Meath County Council","Age 55-59","Females","Number","6274"
"Population","2022","Meath County Council","Age 55-59","Both Sexes","Number","12811"
"Population","2022","Meath County Council","Age 60-64","Males","Number","5176"
"Population","2022","Meath County Council","Age 60-64","Females","Number","5188"
"Population","2022","Meath County Council","Age 60-64","Both Sexes","Number","10364"
"Population","2022","Meath County Council","Age 65-69","Males","Number","4338"
"Population","2022","Meath County Council","Age 65-69","Females","Number","4394"
"Population","2022","Meath County Council","Age 65-69","Both Sexes","Number","8732"
"Population","2022","Meath County Council","Age 70-74","Males","Number","3590"
"Population","2022","Meath County Council","Age 70-74","Females","Number","3728"
"Population","2022","Meath County Council","Age 70-74","Both Sexes","Number","7318"
"Population","2022","Meath County Council","Age 75-79","Males","Number","2576"
"Population","2022","Meath County Council","Age 75-79","Females","Number","2772"
"Population","2022","Meath County Council","Age 75-79","Both Sexes","Number","5348"
"Population","2022","Meath County Council","Age 80-84","Males","Number","1459"
"Population","2022","Meath County Council","Age 80-84","Females","Number","1661"
"Population","2022","Meath County Council","Age 80-84","Both Sexes","Number","3120"
"Population","2022","Meath County Council","Age 85 and over","Males","Number","982"
"Population","2022","Meath County Council","Age 85 and over","Females","Number","1559"
"Population","2022","Meath County Council","Age 85 and over","Both Sexes","Number","2541"
"Population","2022","Meath County Council","Total","Males","Number","109988"
"Population","2022","Meath County Council","Total","Females","Number","110838"
"Population","2022","Meath County Council","Total","Both Sexes","Number","220826"
"Population","2022","Offaly County Council","Age 0-4","Males","Number","2511"
"Population","2022","Offaly County Council","Age 0-4","Females","Number","2322"
"Population","2022","Offaly County Council","Age 0-4","Both Sexes","Number","4833"
"Population","2022","Offaly County Council","Age 5-9","Males","Number","2994"
"Population","2022","Offaly County Council","Age 5-9","Females","Number","2848"
"Population","2022","Offaly County Council","Age 5-9","Both Sexes","Number","5842"
"Population","2022","Offaly County Council","Age 10-14","Males","Number","3364"
"Population","2022","Offaly County Council","Age 10-14","Females","Number","3128"
"Population","2022","Offaly County Council","Age 10-14","Both Sexes","Number","6492"
"Population","2022","Offaly County Council","Age 15-19","Males","Number","3075"
"Population","2022","Offaly County Council","Age 15-19","Females","Number","2744"
"Population","2022","Offaly County Council","Age 15-19","Both Sexes","Number","5819"
"Population","2022","Offaly County Council","Age 20-24","Males","Number","2362"
"Population","2022","Offaly County Council","Age 20-24","Females","Number","2207"
"Population","2022","Offaly County Council","Age 20-24","Both Sexes","Number","4569"
"Population","2022","Offaly County Council","Age 25-29","Males","Number","2065"
"Population","2022","Offaly County Council","Age 25-29","Females","Number","2072"
"Population","2022","Offaly County Council","Age 25-29","Both Sexes","Number","4137"
"Population","2022","Offaly County Council","Age 30-34","Males","Number","2284"
"Population","2022","Offaly County Council","Age 30-34","Females","Number","2473"
"Population","2022","Offaly County Council","Age 30-34","Both Sexes","Number","4757"
"Population","2022","Offaly County Council","Age 35-39","Males","Number","2775"
"Population","2022","Offaly County Council","Age 35-39","Females","Number","2986"
"Population","2022","Offaly County Council","Age 35-39","Both Sexes","Number","5761"
"Population","2022","Offaly County Council","Age 40-44","Males","Number","3133"
"Population","2022","Offaly County Council","Age 40-44","Females","Number","3391"
"Population","2022","Offaly County Council","Age 40-44","Both Sexes","Number","6524"
"Population","2022","Offaly County Council","Age 45-49","Males","Number","3090"
"Population","2022","Offaly County Council","Age 45-49","Females","Number","2982"
"Population","2022","Offaly County Council","Age 45-49","Both Sexes","Number","6072"
"Population","2022","Offaly County Council","Age 50-54","Males","Number","2811"
"Population","2022","Offaly County Council","Age 50-54","Females","Number","2770"
"Population","2022","Offaly County Council","Age 50-54","Both Sexes","Number","5581"
"Population","2022","Offaly County Council","Age 55-59","Males","Number","2594"
"Population","2022","Offaly County Council","Age 55-59","Females","Number","2544"
"Population","2022","Offaly County Council","Age 55-59","Both Sexes","Number","5138"
"Population","2022","Offaly County Council","Age 60-64","Males","Number","2328"
"Population","2022","Offaly County Council","Age 60-64","Females","Number","2339"
"Population","2022","Offaly County Council","Age 60-64","Both Sexes","Number","4667"
"Population","2022","Offaly County Council","Age 65-69","Males","Number","2035"
"Population","2022","Offaly County Council","Age 65-69","Females","Number","1978"
"Population","2022","Offaly County Council","Age 65-69","Both Sexes","Number","4013"
"Population","2022","Offaly County Council","Age 70-74","Males","Number","1703"
"Population","2022","Offaly County Council","Age 70-74","Females","Number","1736"
"Population","2022","Offaly County Council","Age 70-74","Both Sexes","Number","3439"
"Population","2022","Offaly County Council","Age 75-79","Males","Number","1230"
"Population","2022","Offaly County Council","Age 75-79","Females","Number","1315"
"Population","2022","Offaly County Council","Age 75-79","Both Sexes","Number","2545"
"Population","2022","Offaly County Council","Age 80-84","Males","Number","702"
"Population","2022","Offaly County Council","Age 80-84","Females","Number","850"
"Population","2022","Offaly County Council","Age 80-84","Both Sexes","Number","1552"
"Population","2022","Offaly County Council","Age 85 and over","Males","Number","572"
"Population","2022","Offaly County Council","Age 85 and over","Females","Number","837"
"Population","2022","Offaly County Council","Age 85 and over","Both Sexes","Number","1409"
"Population","2022","Offaly County Council","Total","Males","Number","41628"
"Population","2022","Offaly County Council","Total","Females","Number","41522"
"Population","2022","Offaly County Council","Total","Both Sexes","Number","83150"
"Population","2022","Westmeath County Council","Age 0-4","Males","Number","2915"
"Population","2022","Westmeath County Council","Age 0-4","Females","Number","2836"
"Population","2022","Westmeath County Council","Age 0-4","Both Sexes","Number","5751"
"Population","2022","Westmeath County Council","Age 5-9","Males","Number","3445"
"Population","2022","Westmeath County Council","Age 5-9","Females","Number","3380"
"Population","2022","Westmeath County Council","Age 5-9","Both Sexes","Number","6825"
"Population","2022","Westmeath County Council","Age 10-14","Males","Number","3713"
"Population","2022","Westmeath County Council","Age 10-14","Females","Number","3490"
"Population","2022","Westmeath County Council","Age 10-14","Both Sexes","Number","7203"
"Population","2022","Westmeath County Council","Age 15-19","Males","Number","3327"
"Population","2022","Westmeath County Council","Age 15-19","Females","Number","3092"
"Population","2022","Westmeath County Council","Age 15-19","Both Sexes","Number","6419"
"Population","2022","Westmeath County Council","Age 20-24","Males","Number","2820"
"Population","2022","Westmeath County Council","Age 20-24","Females","Number","2614"
"Population","2022","Westmeath County Council","Age 20-24","Both Sexes","Number","5434"
"Population","2022","Westmeath County Council","Age 25-29","Males","Number","2575"
"Population","2022","Westmeath County Council","Age 25-29","Females","Number","2600"
"Population","2022","Westmeath County Council","Age 25-29","Both Sexes","Number","5175"
"Population","2022","Westmeath County Council","Age 30-34","Males","Number","2844"
"Population","2022","Westmeath County Council","Age 30-34","Females","Number","3068"
"Population","2022","Westmeath County Council","Age 30-34","Both Sexes","Number","5912"
"Population","2022","Westmeath County Council","Age 35-39","Males","Number","3522"
"Population","2022","Westmeath County Council","Age 35-39","Females","Number","3781"
"Population","2022","Westmeath County Council","Age 35-39","Both Sexes","Number","7303"
"Population","2022","Westmeath County Council","Age 40-44","Males","Number","3612"
"Population","2022","Westmeath County Council","Age 40-44","Females","Number","3848"
"Population","2022","Westmeath County Council","Age 40-44","Both Sexes","Number","7460"
"Population","2022","Westmeath County Council","Age 45-49","Males","Number","3397"
"Population","2022","Westmeath County Council","Age 45-49","Females","Number","3472"
"Population","2022","Westmeath County Council","Age 45-49","Both Sexes","Number","6869"
"Population","2022","Westmeath County Council","Age 50-54","Males","Number","3229"
"Population","2022","Westmeath County Council","Age 50-54","Females","Number","3224"
"Population","2022","Westmeath County Council","Age 50-54","Both Sexes","Number","6453"
"Population","2022","Westmeath County Council","Age 55-59","Males","Number","2878"
"Population","2022","Westmeath County Council","Age 55-59","Females","Number","3002"
"Population","2022","Westmeath County Council","Age 55-59","Both Sexes","Number","5880"
"Population","2022","Westmeath County Council","Age 60-64","Males","Number","2597"
"Population","2022","Westmeath County Council","Age 60-64","Females","Number","2571"
"Population","2022","Westmeath County Council","Age 60-64","Both Sexes","Number","5168"
"Population","2022","Westmeath County Council","Age 65-69","Males","Number","2277"
"Population","2022","Westmeath County Council","Age 65-69","Females","Number","2311"
"Population","2022","Westmeath County Council","Age 65-69","Both Sexes","Number","4588"
"Population","2022","Westmeath County Council","Age 70-74","Males","Number","1832"
"Population","2022","Westmeath County Council","Age 70-74","Females","Number","1838"
"Population","2022","Westmeath County Council","Age 70-74","Both Sexes","Number","3670"
"Population","2022","Westmeath County Council","Age 75-79","Males","Number","1320"
"Population","2022","Westmeath County Council","Age 75-79","Females","Number","1495"
"Population","2022","Westmeath County Council","Age 75-79","Both Sexes","Number","2815"
"Population","2022","Westmeath County Council","Age 80-84","Males","Number","792"
"Population","2022","Westmeath County Council","Age 80-84","Females","Number","934"
"Population","2022","Westmeath County Council","Age 80-84","Both Sexes","Number","1726"
"Population","2022","Westmeath County Council","Age 85 and over","Males","Number","626"
"Population","2022","Westmeath County Council","Age 85 and over","Females","Number","944"
"Population","2022","Westmeath County Council","Age 85 and over","Both Sexes","Number","1570"
"Population","2022","Westmeath County Council","Total","Males","Number","47721"
"Population","2022","Westmeath County Council","Total","Females","Number","48500"
"Population","2022","Westmeath County Council","Total","Both Sexes","Number","96221"
"Population","2022","Wexford County Council","Age 0-4","Males","Number","4651"
"Population","2022","Wexford County Council","Age 0-4","Females","Number","4505"
"Population","2022","Wexford County Council","Age 0-4","Both Sexes","Number","9156"
"Population","2022","Wexford County Council","Age 5-9","Males","Number","5716"
"Population","2022","Wexford County Council","Age 5-9","Females","Number","5350"
"Population","2022","Wexford County Council","Age 5-9","Both Sexes","Number","11066"
"Population","2022","Wexford County Council","Age 10-14","Males","Number","6252"
"Population","2022","Wexford County Council","Age 10-14","Females","Number","6008"
"Population","2022","Wexford County Council","Age 10-14","Both Sexes","Number","12260"
"Population","2022","Wexford County Council","Age 15-19","Males","Number","5675"
"Population","2022","Wexford County Council","Age 15-19","Females","Number","5296"
"Population","2022","Wexford County Council","Age 15-19","Both Sexes","Number","10971"
"Population","2022","Wexford County Council","Age 20-24","Males","Number","4302"
"Population","2022","Wexford County Council","Age 20-24","Females","Number","4127"
"Population","2022","Wexford County Council","Age 20-24","Both Sexes","Number","8429"
"Population","2022","Wexford County Council","Age 25-29","Males","Number","3839"
"Population","2022","Wexford County Council","Age 25-29","Females","Number","4026"
"Population","2022","Wexford County Council","Age 25-29","Both Sexes","Number","7865"
"Population","2022","Wexford County Council","Age 30-34","Males","Number","4510"
"Population","2022","Wexford County Council","Age 30-34","Females","Number","4897"
"Population","2022","Wexford County Council","Age 30-34","Both Sexes","Number","9407"
"Population","2022","Wexford County Council","Age 35-39","Males","Number","5142"
"Population","2022","Wexford County Council","Age 35-39","Females","Number","5918"
"Population","2022","Wexford County Council","Age 35-39","Both Sexes","Number","11060"
"Population","2022","Wexford County Council","Age 40-44","Males","Number","6000"
"Population","2022","Wexford County Council","Age 40-44","Females","Number","6601"
"Population","2022","Wexford County Council","Age 40-44","Both Sexes","Number","12601"
"Population","2022","Wexford County Council","Age 45-49","Males","Number","5772"
"Population","2022","Wexford County Council","Age 45-49","Females","Number","6009"
"Population","2022","Wexford County Council","Age 45-49","Both Sexes","Number","11781"
"Population","2022","Wexford County Council","Age 50-54","Males","Number","5711"
"Population","2022","Wexford County Council","Age 50-54","Females","Number","5753"
"Population","2022","Wexford County Council","Age 50-54","Both Sexes","Number","11464"
"Population","2022","Wexford County Council","Age 55-59","Males","Number","5201"
"Population","2022","Wexford County Council","Age 55-59","Females","Number","5569"
"Population","2022","Wexford County Council","Age 55-59","Both Sexes","Number","10770"
"Population","2022","Wexford County Council","Age 60-64","Males","Number","4755"
"Population","2022","Wexford County Council","Age 60-64","Females","Number","4931"
"Population","2022","Wexford County Council","Age 60-64","Both Sexes","Number","9686"
"Population","2022","Wexford County Council","Age 65-69","Males","Number","4218"
"Population","2022","Wexford County Council","Age 65-69","Females","Number","4199"
"Population","2022","Wexford County Council","Age 65-69","Both Sexes","Number","8417"
"Population","2022","Wexford County Council","Age 70-74","Males","Number","3612"
"Population","2022","Wexford County Council","Age 70-74","Females","Number","3604"
"Population","2022","Wexford County Council","Age 70-74","Both Sexes","Number","7216"
"Population","2022","Wexford County Council","Age 75-79","Males","Number","2684"
"Population","2022","Wexford County Council","Age 75-79","Females","Number","2842"
"Population","2022","Wexford County Council","Age 75-79","Both Sexes","Number","5526"
"Population","2022","Wexford County Council","Age 80-84","Males","Number","1664"
"Population","2022","Wexford County Council","Age 80-84","Females","Number","1806"
"Population","2022","Wexford County Council","Age 80-84","Both Sexes","Number","3470"
"Population","2022","Wexford County Council","Age 85 and over","Males","Number","1073"
"Population","2022","Wexford County Council","Age 85 and over","Females","Number","1701"
"Population","2022","Wexford County Council","Age 85 and over","Both Sexes","Number","2774"
"Population","2022","Wexford County Council","Total","Males","Number","80777"
"Population","2022","Wexford County Council","Total","Females","Number","83142"
"Population","2022","Wexford County Council","Total","Both Sexes","Number","163919"
"Population","2022","Wicklow County Council","Age 0-4","Males","Number","4664"
"Population","2022","Wicklow County Council","Age 0-4","Females","Number","4283"
"Population","2022","Wicklow County Council","Age 0-4","Both Sexes","Number","8947"
"Population","2022","Wicklow County Council","Age 5-9","Males","Number","5640"
"Population","2022","Wicklow County Council","Age 5-9","Females","Number","5350"
"Population","2022","Wicklow County Council","Age 5-9","Both Sexes","Number","10990"
"Population","2022","Wicklow County Council","Age 10-14","Males","Number","6231"
"Population","2022","Wicklow County Council","Age 10-14","Females","Number","6086"
"Population","2022","Wicklow County Council","Age 10-14","Both Sexes","Number","12317"
"Population","2022","Wicklow County Council","Age 15-19","Males","Number","5402"
"Population","2022","Wicklow County Council","Age 15-19","Females","Number","5158"
"Population","2022","Wicklow County Council","Age 15-19","Both Sexes","Number","10560"
"Population","2022","Wicklow County Council","Age 20-24","Males","Number","4193"
"Population","2022","Wicklow County Council","Age 20-24","Females","Number","3748"
"Population","2022","Wicklow County Council","Age 20-24","Both Sexes","Number","7941"
"Population","2022","Wicklow County Council","Age 25-29","Males","Number","3439"
"Population","2022","Wicklow County Council","Age 25-29","Females","Number","3628"
"Population","2022","Wicklow County Council","Age 25-29","Both Sexes","Number","7067"
"Population","2022","Wicklow County Council","Age 30-34","Males","Number","4000"
"Population","2022","Wicklow County Council","Age 30-34","Females","Number","4526"
"Population","2022","Wicklow County Council","Age 30-34","Both Sexes","Number","8526"
"Population","2022","Wicklow County Council","Age 35-39","Males","Number","5162"
"Population","2022","Wicklow County Council","Age 35-39","Females","Number","6017"
"Population","2022","Wicklow County Council","Age 35-39","Both Sexes","Number","11179"
